artist,13 Years Old,12 Years Old,11 Years Old,10 Years Old,9 Years Old,8 Years Old,7 Years Old,6 Years Old,5 Years Old,4 Years Old,3 Years Old,2 Years Old,1 Years Old,Year Born,Recognition by Millennials,Recognition by Gen-Zs,No. of Songs
Celine Dion,1.0,0.986666666666667,1.0,0.986486486486487,0.9875,0.981481481481482,0.948275862068966,0.984126984126984,0.956521739130435,0.911111111111111,0.975,0.980392156862745,0.95,0.942857142857143,0.974674479802537,0.963496768931551,7
R. Kelly,0.978494623655914,0.983333333333333,0.985507246376812,0.962264150943396,0.985294117647059,0.92156862745098,0.970588235294118,0.939393939393939,0.981132075471698,0.958333333333333,0.938775510204082,0.891304347826087,0.966666666666667,0.830188679245283,0.962349709280719,0.819578741797448,5
Whitney Houston,0.974149659863946,0.973333333333333,0.963636363636364,0.98,0.953271028037383,0.913385826771654,0.914529914529915,0.904347826086957,0.925233644859813,0.9,0.928,0.869230769230769,0.85981308411215,0.864077669902913,0.906713865872867,0.852950885796144,9
Michael Jackson,0.992248062015504,0.96551724137931,0.956521739130435,0.981132075471698,0.96875,0.982142857142857,1.0,0.98,0.928571428571429,0.933333333333333,0.830188679245283,0.85,0.797101449275362,0.811320754716981,0.893535723996891,0.812752525252525,3
C+C Music Factory,0.93616452991453,0.95,0.976744186046512,0.964285714285714,0.851851851851852,0.844444444444444,0.877551020408163,0.876923076923077,0.956521739130435,0.876923076923077,0.835820895522388,0.816326530612245,0.950819672131147,0.830985915492958,0.873686203128234,0.689387768664084,3
TLC,0.963088330109607,0.959183673469388,0.876923076923077,0.872340425531915,0.888888888888889,0.849315068493151,0.9,0.816326530612245,0.811111111111111,0.75,0.766666666666667,0.636363636363636,0.829268292682927,0.613636363636364,0.893036084626158,0.667104309897821,6
Toni Braxton,0.974389282899921,0.924528301886792,0.955223880597015,0.932203389830508,0.950819672131147,0.907894736842105,0.936507936507937,0.842105263157895,0.862068965517241,0.88,0.777777777777778,0.818181818181818,0.642857142857143,0.666666666666667,0.901616287412525,0.584686740240068,3
Ace Of Base,0.978571428571429,0.954545454545455,0.983606557377049,0.933333333333333,0.954545454545455,0.953846153846154,1.0,0.893333333333333,0.904761904761905,0.875,0.805970149253731,0.725490196078431,0.770833333333333,0.765957446808511,0.879769207133577,0.597304467747343,3
Madonna,0.976587301587302,0.914285714285714,0.941176470588235,0.975609756097561,0.94,0.912280701754386,0.792452830188679,0.851851851851852,0.796875,0.842105263157895,0.637931034482759,0.673076923076923,0.696428571428571,0.647058823529412,0.686213331902241,0.466935419302889,8
Bryan Adams,0.95221027479092,0.939393939393939,0.958333333333333,0.962962962962963,0.9,0.925925925925926,0.892307692307692,0.884057971014493,0.833333333333333,0.780487804878049,0.776119402985075,0.75,0.734375,0.647887323943662,0.72325819340622,0.415711701279417,4
The Notorious B.I.G,0.711200564702291,0.803921568627451,0.660377358490566,0.661538461538462,0.626865671641791,0.543478260869565,0.661971830985915,0.596153846153846,0.627450980392157,0.53448275862069,0.552631578947368,0.395833333333333,0.528301886792453,0.466666666666667,0.633514480291171,0.436283213765483,4
Roxette,0.929745063365753,0.961538461538462,0.96551724137931,0.916666666666667,0.888888888888889,0.862068965517241,0.787878787878788,0.833333333333333,0.75,0.703703703703704,0.661538461538462,0.625,0.509803921568627,0.694915254237288,0.619189185184276,0.429107820284291,4
Savage Garden,0.824753059475888,0.777777777777778,0.768115942028985,0.685714285714286,0.711538461538462,0.62962962962963,0.626373626373626,0.535714285714286,0.535714285714286,0.46031746031746,0.25531914893617,0.35,0.212121212121212,0.285714285714286,0.715085855661682,0.301115859449193,3
Mariah Carey,0.876680599094392,0.877551020408163,0.825396825396825,0.767857142857143,0.759259259259259,0.716666666666667,0.7,0.621212121212121,0.617647058823529,0.654545454545455,0.527272727272727,0.603174603174603,0.515625,0.551020408163265,0.665111633697037,0.319952751067302,18
Puff Daddy,0.60816808832761,0.592592592592593,0.426229508196721,0.438356164383562,0.4,0.538461538461538,0.366666666666667,0.396551724137931,0.395833333333333,0.465116279069767,0.276595744680851,0.211538461538462,0.358974358974359,0.433962264150943,0.452602377469291,0.364862114862115,3
Wilson Phillips,0.81547619047619,0.823529411764706,0.794117647058823,0.717391304347826,0.826086956521739,0.737704918032787,0.571428571428571,0.7125,0.622641509433962,0.67741935483871,0.513157894736842,0.492537313432836,0.530612244897959,0.527272727272727,0.555076870890871,0.22856087979178,4
En Vogue,0.849642255892256,0.782608695652174,0.888888888888889,0.827586206896552,0.732142857142857,0.666666666666667,0.693548387096774,0.689655172413793,0.526315789473684,0.483870967741935,0.434210526315789,0.490909090909091,0.421875,0.307692307692308,0.525319601309913,0.255602834266627,3
Phil Collins,0.849629587199756,0.636363636363636,0.897435897435897,0.72,0.659090909090909,0.69811320754717,0.578947368421053,0.433962264150943,0.542857142857143,0.56,0.452380952380952,0.408163265306122,0.338461538461538,0.413333333333333,0.433985831839305,0.322765244776539,3
Boyz II Men,0.810364992942125,0.773584905660377,0.875,0.716981132075472,0.796296296296296,0.654545454545455,0.769230769230769,0.515625,0.466666666666667,0.518072289156627,0.464285714285714,0.338709677419355,0.306451612903226,0.277777777777778,0.485813327467739,0.208811831655884,8
