"artist","song","years_old_13","years_old_12","years_old_11","years_old_10","years_old_9","years_old_8","years_old_7","years_old_6","years_old_5","years_old_4","years_old_3","years_old_2","years_old_1","years_old_0","years_pre_birth_1","years_pre_birth_2","years_pre_birth_3","years_pre_birth_4","years_pre_birth_5","years_pre_birth_6","years_pre_birth_7","years_pre_birth_8","years_pre_birth_9","years_pre_birth_10"
"2 Pac","California Love",0.647858562202824,0.54,0.711864406779661,0.435483870967742,0.644444444444444,0.594202898550725,0.6,0.421052631578947,0.446428571428571,0.391304347826087,0.309090909090909,0.372093023255814,0.270833333333333,0.340909090909091,0.371428571428571,0.285714285714286,0.151515151515152,0.181818181818182,0,0,0,0,0,0
"2Pac","How Do U Want It",0.265027322404372,0.226415094339623,0.382352941176471,0.296296296296296,0.22972972972973,0.283582089552239,0.138888888888889,0.168831168831169,0.215384615384615,0.1,0.108695652173913,0.157894736842105,0.0681818181818182,0.106382978723404,0.0697674418604651,0.027027027027027,0.166666666666667,0.0810810810810811,0,0,0,0,0,0
"702","Where My Girls At?",0.630772427406369,0.614285714285714,0.660377358490566,0.415384615384615,0.532258064516129,0.375,0.415094339622642,0.275862068965517,0.304347826086957,0.408163265306122,0.212765957446809,0.272727272727273,0.195121951219512,0.225806451612903,0.205882352941176,0,0,0,0,0,0,0,0,0
"Ace Of Base","All That She Wants",0.962962962962963,0.94,0.976190476190476,0.87719298245614,0.954545454545455,0.953846153846154,1,0.852941176470588,0.9,0.875,0.779411764705882,0.660377358490566,0.770833333333333,0.58,0.702127659574468,0.545454545454545,0.545454545454545,0.523809523809524,0.588235294117647,0.485714285714286,0.48,0,0,0
"Ace Of Base","Don't Turn Around",0.899068322981366,0.909090909090909,0.826923076923077,0.8,0.756756756756757,0.772727272727273,0.666666666666667,0.516129032258065,0.557377049180328,0.629032258064516,0.625,0.403508771929825,0.369230769230769,0.442622950819672,0.388888888888889,0.418604651162791,0.363636363636364,0.323529411764706,0.414634146341463,0.21875,0,0,0,0
"Ace Of Base","The Sign",0.978571428571429,0.954545454545455,0.983606557377049,0.933333333333333,0.929824561403509,0.907692307692308,0.942528735632184,0.893333333333333,0.904761904761905,0.840579710144927,0.805970149253731,0.725490196078431,0.682539682539683,0.765957446808511,0.557692307692308,0.63265306122449,0.634615384615385,0.583333333333333,0.735294117647059,0.472222222222222,0,0,0,0
"Adina Howard","Freak Like Me",0.414692653673163,0.28,0.301587301587302,0.296875,0.2,0.168831168831169,0.178571428571429,0.189655172413793,0.238095238095238,0.171875,0.25,0.142857142857143,0.137931034482759,0.06,0.075,0.12,0.166666666666667,0.0714285714285714,0.172413793103448,0,0,0,0,0
"Aerosmith","I Don't Want To Miss A Thing",0.959234540435875,0.953125,0.966101694915254,0.986666666666667,0.87037037037037,0.930555555555556,0.862068965517241,0.8,0.847826086956522,0.875,0.818181818181818,0.697674418604651,0.825,0.75,0.541666666666667,0.458333333333333,0,0,0,0,0,0,0,0
"Aerosmith","Janie's Got A Gun",0.820378151260504,0.846153846153846,0.756756756756757,0.833333333333333,0.682926829268293,0.590163934426229,0.571428571428571,0.549019607843137,0.73469387755102,0.584615384615385,0.477777777777778,0.326923076923077,0.451612903225806,0.298245614035088,0.446428571428571,0.245283018867925,0.323943661971831,0.203703703703704,0.234042553191489,0.270833333333333,0.173913043478261,0.205128205128205,0.0769230769230769,0.115384615384615
"Alanis Morissette","Ironic",0.969663742690059,0.978723404255319,0.985507246376812,0.95,0.926470588235294,0.936507936507937,0.972972972972973,0.84,0.919354838709677,0.777777777777778,0.765957446808511,0.74468085106383,0.68,0.612244897959184,0.605263157894737,0.542857142857143,0.607142857142857,0.457142857142857,0,0,0,0,0,0
"Alannah Myles","Black Velvet",0.926190476190476,0.947368421052632,0.885714285714286,0.961538461538462,0.938775510204082,0.844827586206897,0.701754385964912,0.835820895522388,0.696969696969697,0.727272727272727,0.6625,0.590163934426229,0.587301587301587,0.566666666666667,0.531914893617021,0.521739130434783,0.472727272727273,0.461538461538462,0.425,0.444444444444444,0.34,0.305555555555556,0.428571428571429,0.419354838709677
"Alias","More Than Words Can Say",0.337606837606838,0.21875,0.13953488372093,0.0816326530612245,0.145833333333333,0.170212765957447,0.0847457627118644,0.120689655172414,0.0985915492957746,0.0735294117647059,0.015625,0.0161290322580645,0.0645161290322581,0.0746268656716418,0.0833333333333333,0,0.0625,0.127272727272727,0.0512820512820513,0.135135135135135,0.024390243902439,0.13953488372093,0.157894736842105,0.153846153846154
"All Saints","Never Ever",0.553823420358132,0.661016949152542,0.555555555555556,0.389830508474576,0.394736842105263,0.304347826086957,0.181818181818182,0.240740740740741,0.181818181818182,0.189189189189189,0.170731707317073,0.0416666666666667,0.142857142857143,0.0882352941176471,0.1,0.103448275862069,0,0,0,0,0,0,0,0
"All-4-One","I Swear",0.934087841982579,0.935483870967742,0.929824561403509,0.892857142857143,0.9,0.781818181818182,0.808219178082192,0.836065573770492,0.769230769230769,0.75,0.666666666666667,0.489795918367347,0.677966101694915,0.5,0.422222222222222,0.5,0.536585365853659,0.295454545454545,0.439024390243902,0.304347826086957,0,0,0,0
"Allure","All Cried Out",0.236075036075036,0.203389830508475,0.23728813559322,0.16,0.125,0.119402985074627,0.0819672131147541,0.101694915254237,0.154929577464789,0.0491803278688525,0.0952380952380952,0.159090909090909,0.0930232558139535,0.102564102564103,0.0882352941176471,0.09375,0,0,0,0,0,0,0,0
"Amy Grant","Baby Baby",0.760576923076923,0.724137931034483,0.673913043478261,0.62962962962963,0.454545454545455,0.566037735849057,0.490909090909091,0.450704225352113,0.333333333333333,0.358024691358025,0.278688524590164,0.225352112676056,0.188405797101449,0.109090909090909,0.0925925925925926,0.0344827586206897,0.0681818181818182,0.102040816326531,0.0612244897959184,0.117647058823529,0.0555555555555556,0.032258064516129,0.166666666666667,0
"Amy Grant","Every Heartbeat",0.693486590038314,0.611111111111111,0.645161290322581,0.547169811320755,0.574468085106383,0.425925925925926,0.304347826086957,0.333333333333333,0.145454545454545,0.16,0.2,0.121951219512195,0.09375,0.106666666666667,0.12962962962963,0.0784313725490196,0.0816326530612245,0.135593220338983,0.0833333333333333,0,0.0967741935483871,0.2,0.12,0
"Atlantic Starr","Masterpiece",0.267592592592593,0.166666666666667,0.170212765957447,0.184615384615385,0.1,0.161764705882353,0.181818181818182,0.0555555555555556,0.0533333333333333,0.078125,0.0810810810810811,0.0606060606060606,0.0434782608695652,0.0576923076923077,0.121212121212121,0.0212765957446809,0.08,0.0555555555555556,0.0212765957446809,0.0689655172413793,0.0588235294117647,0.107142857142857,0,0
"B-52's, The","Roam",0.875050875050875,0.692307692307692,0.78125,0.843137254901961,0.636363636363636,0.679245283018868,0.596153846153846,0.666666666666667,0.59375,0.537037037037037,0.619047619047619,0.431034482758621,0.578947368421053,0.53448275862069,0.474576271186441,0.457627118644068,0.491228070175439,0.388888888888889,0.355555555555556,0.238095238095238,0.146341463414634,0.216216216216216,0.15625,0.142857142857143
"BLACKstreet","No Diggity",0.853997491252393,0.852459016393443,0.85,0.864406779661017,0.672727272727273,0.726027397260274,0.704918032786885,0.779220779220779,0.82089552238806,0.705882352941177,0.712121212121212,0.647058823529412,0.673076923076923,0.604651162790698,0.475,0.466666666666667,0.413793103448276,0.48,0,0,0,0,0,0
"Babyface","When Can I See You",0.280288633672092,0.363636363636364,0.196428571428571,0.339622641509434,0.384615384615385,0.183333333333333,0.152542372881356,0.0983606557377049,0.0689655172413793,0.138888888888889,0.046875,0.0476190476190476,0.0588235294117647,0.0363636363636364,0.0512820512820513,0.024390243902439,0.0277777777777778,0.0333333333333333,0.0454545454545455,0.037037037037037,0,0,0,0
"Backstreet Boys, The","Everybody",0.973868572229228,1,0.953846153846154,0.958333333333333,0.945454545454545,0.967213114754098,0.970149253731343,0.984126984126984,0.962264150943396,0.94,0.854166666666667,0.974358974358974,0.815789473684211,0.925,0.787878787878788,0.827586206896552,0,0,0,0,0,0,0,0
"Backstreet Boys, The","Quit Playing Games",0.898953962172353,0.875,0.875,0.810810810810811,0.666666666666667,0.73015873015873,0.767441860465116,0.655737704918033,0.638297872340426,0.622641509433962,0.422222222222222,0.396551724137931,0.208333333333333,0.297297297297297,0.341463414634146,0.290322580645161,0.266666666666667,0,0,0,0,0,0,0
"Barenaked Ladies","One Week",0.884207459207459,0.714285714285714,0.746478873239437,0.741935483870968,0.761904761904762,0.737704918032787,0.596491228070175,0.625,0.490196078431373,0.46,0.384615384615385,0.205128205128205,0.266666666666667,0.257142857142857,0.266666666666667,0.206896551724138,0,0,0,0,0,0,0,0
"Bell Biv DeVoe","Do Me!",0.551740313350221,0.615384615384615,0.387096774193548,0.48,0.240740740740741,0.193548387096774,0.196428571428571,0.15,0.22,0.05,0.157142857142857,0.158730158730159,0.115942028985507,0.125,0.0566037735849057,0.0566037735849057,0.0178571428571429,0.0425531914893617,0.0961538461538462,0.0192307692307692,0.0975609756097561,0.03125,0.0666666666666667,0.142857142857143
"Bell Biv DeVoe","Poison",0.706808134394341,0.567567567567568,0.764705882352941,0.634615384615385,0.68,0.6,0.588235294117647,0.568627450980392,0.73134328358209,0.34,0.459016393442623,0.555555555555556,0.430769230769231,0.506666666666667,0.396825396825397,0.492537313432836,0.37037037037037,0.326923076923077,0.283018867924528,0.339622641509434,0.333333333333333,0.166666666666667,0.214285714285714,0.241379310344828
"Bette Midler","From A Distance",0.768817204301075,0.71875,0.848484848484849,0.697674418604651,0.735849056603774,0.618181818181818,0.654545454545455,0.561643835616438,0.4375,0.383333333333333,0.28125,0.25,0.23728813559322,0.158730158730159,0.211538461538462,0.203703703703704,0.142857142857143,0.0740740740740741,0.0895522388059701,0.137254901960784,0.117647058823529,0.0606060606060606,0.166666666666667,0.181818181818182
